embedding_model,corpus,query_id,difficulty,category,query,relevant_functions,top_1_function,top_5_functions,top_10_functions,first_relevant_rank,reciprocal_rank
bge-small,raw,q_0011,easy,input_output,What processing produces the observed result after takes two parameters generates random moves using class counts number?,"[""benchmark_tests/perft_tests.cpp::Test::BenchMark::perftDriver::36""]",debug_tests/move_tests.cpp::Test::Debug::moveSorting::20,"[""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKingMoves::67"", ""src/search/see.cpp::see::14"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50""]","[""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKingMoves::67"", ""src/search/see.cpp::see::14"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""src/misc.cpp::parseMove::135"", ""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKnightMoves::39"", ""src/search/see.cpp::see::14"", ""benchmark_tests/search_and_eval.cpp::Test::BenchMark::staticSearch::71""]",,0.0
bge-small,raw,q_0012,difficult,state_transition,"If state from an earlier operation persists, what should I trace around initializes evaluation tables chess pieces squares flipping white match endianness?","[""src/eval/evaluation.cpp::init_tables::22""]",src/misc.cpp::parseMove::135,"[""src/misc.cpp::parseMove::135"", ""src/search/see.cpp::see::14"", ""src/eval/evaluation.cpp::evaluate::35"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/eval/evaluation.cpp::evaluate::35""]","[""src/misc.cpp::parseMove::135"", ""src/search/see.cpp::see::14"", ""src/eval/evaluation.cpp::evaluate::35"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::init_tables::22"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKingMoves::67"", ""src/search/see.cpp::see::14""]",6,0.16666666666666666
bge-small,raw,q_0013,moderate,control_flow,Where should I inspect the decision that changes what happens after takes input calculates white black composed several pawn structure mobility?,"[""src/eval/evaluation.cpp::evaluate::35""]",src/search/see.cpp::see::14,"[""src/search/see.cpp::see::14"", ""src/search/see.cpp::see::14"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35""]","[""src/search/see.cpp::see::14"", ""src/search/see.cpp::see::14"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/misc.cpp::parseMove::135"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/eval/evaluation.cpp::evaluate::35""]",3,0.3333333333333333
bge-small,raw,q_0014,easy,input_output,How does the system turn initializes evaluation masks chess pieces positions uses bitwise operations set into an outcome used elsewhere?,"[""src/init.cpp::maskPawnAttacks::123""]",src/eval/evaluation.cpp::evaluate::35,"[""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""src/init.cpp::initialiseSquaresBetween::400"", ""src/init.cpp::initEvaluationMasks::358"", ""src/eval/evaluation.cpp::evaluate::35""]","[""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""src/init.cpp::initialiseSquaresBetween::400"", ""src/init.cpp::initEvaluationMasks::358"", ""src/eval/evaluation.cpp::evaluate::35"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/init.cpp::initEvaluationMasks::358"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::setFileAndRankMask::341"", ""src/search/see.cpp::see::14""]",,0.0
bge-small,raw,q_0015,moderate,dependencies,What does initialises line populating arrays information about rook attacks between squares need from the surrounding implementation?,"[""src/init.cpp::initialiseLine::416"", ""include/inline_functions.h::getRookAttacks::66""]",src/init.cpp::rookAttacksOnTheFly::241,"[""src/init.cpp::rookAttacksOnTheFly::241"", ""include/inline_functions.h::getRookAttacks::66"", ""src/init.cpp::initSliderAttacks::291"", ""include/inline_functions.h::getBishopXrayAttacks::60"", ""include/inline_functions.h::getBishopAttacks::52""]","[""src/init.cpp::rookAttacksOnTheFly::241"", ""include/inline_functions.h::getRookAttacks::66"", ""src/init.cpp::initSliderAttacks::291"", ""include/inline_functions.h::getBishopXrayAttacks::60"", ""include/inline_functions.h::getBishopAttacks::52"", ""include/inline_functions.h::getRookXrayAttacks::74"", ""src/eval/evaluation.cpp::evaluate::35"", ""include/inline_functions.h::getQueenAttacks::80"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14""]",2,0.5
bge-small,raw,q_0016,difficult,state_transition,Where should I investigate how checks hash table occupied checking any keys exist number prepares or changes state before the next stage?,"[""src/hashtable.cpp::checkHashOccupancy::132""]",src/hashtable.cpp::checkHashOccupancy::132,"[""src/hashtable.cpp::checkHashOccupancy::132"", ""src/hashtable.cpp::recordHash::114"", ""src/hashtable.cpp::probeHash::81"", ""src/hashtable.cpp::generateHashKey::26"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50""]","[""src/hashtable.cpp::checkHashOccupancy::132"", ""src/hashtable.cpp::recordHash::114"", ""src/hashtable.cpp::probeHash::81"", ""src/hashtable.cpp::generateHashKey::26"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""src/UCI.cpp::handlePosition::122"", ""src/hashtable.cpp::initTranspositionTable::48"", ""src/hashtable.cpp::recordHash::114"", ""src/hashtable.cpp::probeHash::81"", ""src/eval/evaluation.cpp::evaluate::35""]",1,1.0
bge-small,raw,q_0017,difficult,reasoning,"If prepares evaluation masks chess setting them according positions initializes isolated changes, what relationship with sets masks chess state mask determine whether can occupied type would need review?","[""src/init.cpp::setFileAndRankMask::341"", ""src/init.cpp::initEvaluationMasks::358""]",src/init.cpp::initEvaluationMasks::358,"[""src/init.cpp::initEvaluationMasks::358"", ""src/init.cpp::initEvaluationMasks::358"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""src/init.cpp::maskKingMoves::162"", ""src/init.cpp::initSliderAttacks::291""]","[""src/init.cpp::initEvaluationMasks::358"", ""src/init.cpp::initEvaluationMasks::358"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""src/init.cpp::maskKingMoves::162"", ""src/init.cpp::initSliderAttacks::291"", ""src/init.cpp::maskPawnAttacks::123"", ""src/init.cpp::setOccupancies::269"", ""src/init.cpp::maskBishopMoves::182"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::setFileAndRankMask::341""]",1,1.0
bge-small,raw,q_0018,moderate,control_flow,What branch determines the next step after store hash key along later ensures moves not stored multiple?,"[""src/hashtable.cpp::recordHash::114""]",src/hashtable.cpp::recordHash::114,"[""src/hashtable.cpp::recordHash::114"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handlePosition::122"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60""]","[""src/hashtable.cpp::recordHash::114"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handlePosition::122"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60"", ""src/hashtable.cpp::probeHash::81"", ""src/misc.cpp::parseMove::135"", ""src/hashtable.cpp::probeHash::81"", ""src/hashtable.cpp::recordHash::114"", ""src/UCI.cpp::handlePosition::122""]",1,1.0
bge-small,raw,q_0019,easy,input_output,What processing produces the observed result after handles options passed interface checks provided matches any known calls?,"[""src/UCI.cpp::handleOption::66""]",src/search/see.cpp::see::14,"[""src/search/see.cpp::see::14"", ""src/hashtable.cpp::recordHash::114"", ""src/UCI.cpp::UCI::238"", ""src/UCI.cpp::handleOption::103"", ""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20""]","[""src/search/see.cpp::see::14"", ""src/hashtable.cpp::recordHash::114"", ""src/UCI.cpp::UCI::238"", ""src/UCI.cpp::handleOption::103"", ""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""src/UCI.cpp::UCI::238"", ""src/UCI.cpp::handleOption::66"", ""src/main.cpp::main::10"", ""src/hashtable.cpp::probeHash::81"", ""src/UCI.cpp::handlePosition::122""]",7,0.14285714285714285
bge-small,raw,q_0020,easy,input_output,What transformation is associated with generates ordered list moves scores each prints them along corresponding before a result is returned?,"[""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50""]",debug_tests/move_tests.cpp::Test::Debug::moveSorting::20,"[""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60"", ""src/misc.cpp::printMovesList::122"", ""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20""]","[""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60"", ""src/misc.cpp::printMovesList::122"", ""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""src/misc.cpp::parseMove::135"", ""src/hashtable.cpp::probeHash::81"", ""debug_tests/see_tests.cpp::Test::Debug::see_test::15"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/misc.cpp::printMove::81""]",2,0.5
bge-small,raw,q_0021,difficult,state_transition,"If state from an earlier operation persists, what should I trace around clears hash table transposition chess resets all entries default?","[""src/hashtable.cpp::clearTranspositionTable::67""]",src/hashtable.cpp::clearTranspositionTable::67,"[""src/hashtable.cpp::clearTranspositionTable::67"", ""src/hashtable.cpp::initTranspositionTable::48"", ""src/hashtable.cpp::recordHash::114"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""src/hashtable.cpp::checkHashOccupancy::132""]","[""src/hashtable.cpp::clearTranspositionTable::67"", ""src/hashtable.cpp::initTranspositionTable::48"", ""src/hashtable.cpp::recordHash::114"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""src/hashtable.cpp::checkHashOccupancy::132"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60"", ""src/search/see.cpp::see::14"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::resetGameVariables::26"", ""src/UCI.cpp::handlePosition::122""]",1,1.0
bge-small,raw,q_0022,difficult,multi_hop,What should I trace from initialises squares between pieces attacks through an intermediate step before it reaches calculates diagonal using formula sqrt?,"[""include/inline_functions.h::getRookAttacks::66"", ""src/init.cpp::diagonal_of::394"", ""src/init.cpp::initialiseSquaresBetween::400""]",include/inline_functions.h::getBishopXrayAttacks::60,"[""include/inline_functions.h::getBishopXrayAttacks::60"", ""include/inline_functions.h::getRookXrayAttacks::74"", ""include/inline_functions.h::getBishopAttacks::52"", ""src/init.cpp::initialiseSquaresBetween::400"", ""src/eval/evaluation.cpp::evaluate::35""]","[""include/inline_functions.h::getBishopXrayAttacks::60"", ""include/inline_functions.h::getRookXrayAttacks::74"", ""include/inline_functions.h::getBishopAttacks::52"", ""src/init.cpp::initialiseSquaresBetween::400"", ""src/eval/evaluation.cpp::evaluate::35"", ""include/inline_functions.h::getRookAttacks::66"", ""src/init.cpp::maskKingMoves::162"", ""src/init.cpp::initSliderAttacks::291"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35""]",4,0.25
bge-small,raw,q_0023,moderate,data_flow,What intermediate representation connects class takes input parses chess state parsed formatted rows squares with the eventual result?,"[""include/board.h::Board::Board::34""]",debug_tests/see_tests.cpp::Test::Debug::see_test::15,"[""debug_tests/see_tests.cpp::Test::Debug::see_test::15"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::initialiseSquaresBetween::400"", ""include/inline_functions.h::getRookAttacks::66"", ""src/eval/evaluation.cpp::evaluate::35""]","[""debug_tests/see_tests.cpp::Test::Debug::see_test::15"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::initialiseSquaresBetween::400"", ""include/inline_functions.h::getRookAttacks::66"", ""src/eval/evaluation.cpp::evaluate::35"", ""include/inline_functions.h::getRookXrayAttacks::74"", ""include/inline_functions.h::getQueenAttacks::80"", ""src/init.cpp::rookAttacksOnTheFly::241"", ""src/misc.cpp::parseMove::135"", ""src/init.cpp::initLeaperPiecesAttacks::282""]",,0.0
bge-small,raw,q_0024,easy,input_output,What processing produces the observed result after takes input integer representing white black?,"[""include/types.h::color::32""]",debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54,"[""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14""]","[""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""src/eval/evaluation.cpp::evaluate::35"", ""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""src/init.cpp::initEvaluationMasks::358"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countPawnAttacks::17"", ""debug_tests/see_tests.cpp::Test::Debug::see_test::15""]",,0.0
bge-small,raw,q_0025,easy,input_output,What transformation is associated with initializes evaluation masks chess pieces positions uses bitwise operations set before a result is returned?,"[""src/init.cpp::maskPawnAttacks::123""]",src/init.cpp::initLeaperPiecesAttacks::282,"[""src/init.cpp::initLeaperPiecesAttacks::282"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/init.cpp::initEvaluationMasks::358"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::initialiseSquaresBetween::400""]","[""src/init.cpp::initLeaperPiecesAttacks::282"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/init.cpp::initEvaluationMasks::358"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::initialiseSquaresBetween::400"", ""src/init.cpp::initEvaluationMasks::358"", ""src/eval/evaluation.cpp::init_tables::22"", ""src/init.cpp::maskPawnAttacks::123"", ""src/init.cpp::maskKingMoves::162"", ""src/init.cpp::setFileAndRankMask::341""]",8,0.125
bge-small,raw,q_0026,difficult,state_transition,What part of the implementation controls the transition associated with get path executable program uses methods such reading proc self?,"[""src/logger/logger.cpp::getExecutableDirectory::16""]",src/UCI.cpp::UCI::238,"[""src/UCI.cpp::UCI::238"", ""src/logger/logger.cpp::getExecutableDirectory::16"", ""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::standardPerft::107"", ""src/UCI.cpp::handleGo::194""]","[""src/UCI.cpp::UCI::238"", ""src/logger/logger.cpp::getExecutableDirectory::16"", ""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::standardPerft::107"", ""src/UCI.cpp::handleGo::194"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::UCI::238"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handlePosition::122""]",2,0.5
bge-small,raw,q_0027,easy,input_output,What processing produces the observed result after prints bitboard human readable format takes two arguments which printed?,"[""src/misc.cpp::printBitBoard::27""]",src/misc.cpp::printBitBoard::27,"[""src/misc.cpp::printBitBoard::27"", ""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""src/init.cpp::bishopAttacksOnTheFly::213"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14""]","[""src/misc.cpp::printBitBoard::27"", ""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""src/init.cpp::bishopAttacksOnTheFly::213"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""src/init.cpp::rookAttacksOnTheFly::241"", ""src/eval/evaluation.cpp::evaluate::35"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""debug_tests/see_tests.cpp::Test::Debug::see_test::15"", ""src/eval/evaluation.cpp::evaluate::35""]",1,1.0
bge-small,raw,q_0028,difficult,cross_function,What interaction connects checks behaves correctly there non pawn pieces expected with reset state calling resetboard which resets followed generating all possible during execution?,"[""debug_tests/game_scenario.cpp::Test::Debug::boardNonPawnMat::43"", ""include/board.h::Board::Board::33""]",src/search/see.cpp::see::14,"[""src/search/see.cpp::see::14"", ""src/search/see.cpp::see::14"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""src/UCI.cpp::resetGameVariables::26""]","[""src/search/see.cpp::see::14"", ""src/search/see.cpp::see::14"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""src/UCI.cpp::resetGameVariables::26"", ""debug_tests/game_scenario.cpp::Test::Debug::boardNonPawnMat::43"", ""debug_tests/game_scenario.cpp::Test::Debug::boardInCheck::27"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKingMoves::67"", ""src/search/see.cpp::see::14"", ""src/misc.cpp::printBitBoard::27""]",6,0.16666666666666666
